Date Commented,Star Ratings 1-5,Comments,Sentiment
2022,4,"St Luke's is parallel to US standard of care & State of the Art technology. By experience getting appointment from Specialist is fairly easy to get in, laboratory, radiology & nuclear med service has been optimally busy, but they have a …",2
2022,1,"Very slow service. Not worth the high class hospital that it should be. We came to the ER yesterday for my dad's emergency case. Tests were done yesterday morning, then he got transferred to a large private room that we can't afford, since …",0
2023,1,This feedback is for the Pathology department and to whoever took my son's( 9 months old )blood last January. Until now I still feel horrified with how it was done. All I could think of of that experience was blood on the floor and my son's …,0
2022,1,"I came to the hospital at 9:00 and I have been waiting for five hours until I have a fever. The hospital just made me wait, …",0
2024,2,Patients should have an option to request for a wider and bigger MRI. The machine itself is tight and claustrophobic. I had an MRI for 1 hour to detect the cyst on my collarbone. Imagine that... lol,0
2020,5,"There are no enough words to express my admiration to all SLMC frontliners who unselfishly dedicate and sacrifice their own lives and family just only to serve the covid 19 patients, they are the true hero to God's Eyes and heart and will …",2
2023,1,"Tried calling the trunkline starting after lunch until around 4:30pm today but failed to connect to any of your operators. All I got was a recorded message ""all our operators are busy"". That busy, really?? I was supposed to inquire about doctors who specialize in Endocrine. We are loyal to SLMC, but today is so disappointing.",0
2022,1,I rate them 1 this time. I arrived at 6.30 am for blood extraxtion. It took me more than an hour to to cashier. Then still waiting for my turn for blood extraction. Its almost 8 am and i still have 5 more patients ahead of me. Just 2 …,1
2024,2,"Good for the Philippines, unfortunately the same inefficiencies as everything else in the country.",0
2020,1,"It is almost 4pm on January 9, 2020. There is a very long waiting time here in the Admissions office - lots of people waiting but there seems to be only 1 functional staff who’s processing the Admission requests.  Very poor customer …",0
2023,1,"If there would be an option to put 0, i would. This center is a total disaster. I did medical check-up 6 weeks ago and up until now, there are no results. I’ve been following up 3 times, no response. And this service costs almost 25k …",0
2023,1,"I went to St Lukes Bgc last night for an ECG, i asked the nurse if i can have just ECG, she said yes but in addition i have to pay ER Charge bec it will be done in the ER at that time of the night which is just more than 2k only she said …",1
2022,1,I went today to get RT-PCR Test as I was referred by my OB since I am having cough and fever and is currently 8 months pregnant. I was advised by one of the staff at the testing area that i should get tested via drive thru so that i will …,1
2022,1,"ER with very slow and poor service. How can they not attend immediately to my cousin whose blood pressure could have caused a stroke with all the symptoms presented. Very high blood pressure, severe headache, nauseous feeling, numbing. It …",0
2022,1,"Substandard services. Availed of the executive check up for my mom ( overnight). Purely aesthetic. Blood test results will be out in 7 days. Unlike in other disgnostics center like HP, you can get the results in the afternoon. Highly not recommended.",0
2022,1,"I was expecting good service here. I went to the ER and everything was slow — the doctors seem to not care, doctors incompetent. I have severe stomach problems with history of acidity but the doctor had me and ecg, urinalysis, and …",0
2019,1,"Worst hospital ever! They don’t care about the patient, they care about the patient’s money. The staff are very slow and untrained. …",0
2022,1,"I has a pain at my eye lid, so I went to the Emergency Room in the evening. The process to register me was fast and amazingly efficient however it took them to page or call the eye specialist for 3 hours. I am not so sure, how this could be …",1
2022,1,"I went to St. Lukes BGC due to abdominal contraction. Waiting time was unacceptable. 1hr triage and encoding, then 1hr before  doctor will approach you and ask about what you feel and recommend test, anothe 1hr before the nurse will …",0
2022,2,"I lowered this review after passing my FIFTH hour waiting in a near empty ER in the middle of a weekday. I had the impression there wasn't any coordination or efficiency, and waiting in the ER when you're as ill as I was is not very fun. …",0
2022,2,I have been here many times (ER)to be specific. If its a life and death situation they respond so quickly the nurse are awesome but when i had my swab test here omg hahaha i waited 7 freaking hours and regular ER will take you forever like …,2
2022,5,"A great hospital with 1st world facilities. The neuro, nephro, PT and other teams have shown great team ethics to make my mother better. Let’s put the numbers so people appreciate the cost as it is usually mentioned in relation to SLMC. In …",2
2024,5,"A side from my medical condition my experience at the St Luke has been great. The doctors knowledgeable, the staff kind and respectful, the place clean and the food was good.Thank you.",2
2023,5,"This is part of  SL Hospital where Doctors' offices/clinics are located. There is a pharmacy on the first floor. Security guards are very attentive and always assist patients needing special assistance like wheelchairs, etc. This section of St. Luke's Hospital in BGC is connected to the hospital premises.",2
2022,5,Was assisted by the security guard at the basement for parking for my mom's check up and result with regards to her heart operation at the height of the pandemic.,1
2021,4,"Pre-pandemic I was admitted in the Emergency several times and during those times, I was supervised well especially by the nurses. They checked on me from time to time until I was ready to be discharged. I know that when I come here for …",1
2019,4,"I only needed to go here because of my lower back pain and get rid of it. From the start through the HMO Concierge to getting appointment with the doctor and finally with the Physical Therapy sessions, everything went smoothly and I got rid …",2
2022,1,I was rushed to the ER. They made some procedure such as ecg and xray. They didn't even remove the tape after ecg. I removed 5 or 6tapes at home. Bad service as well as their trunkline. It will take you hours calling their trunkline number.,0
2022,1,Went here for a scan. We scheduled the appointment and ridiculously waited for 3.5 hours. The doctor came late and the nurses here are waste of space and shows no empathy. This is not a 5 star hospital at all. Expensive and rubbish customer service! Very very disappointed. Not coming back.,0
2023,1,"It's been 10 days and I still don't have my results. Doing the tests were no problem. They are pretty organised but fail when getting findings. I was expecting same day results maybe within 24hrs but they said 1 to 2 days, fine but 10 days!?",0
2020,3,"Better facilities than most hospitals. Bigger rooms compared to Makati Med. This hospital feels like a mall or a 3-star hotel, not as packed or chaotic as MMC. Comparing their services though, I like MMC better. Nurses' attitude are better …",2
2024,5,"Love the services offered by the hospital.Parking is now computerized, but still with attendant. Very clean facilities!",2
2020,5,"I'm giving SLMC, Global City a 5-star rating for a very nice medical accommodation during my period of confinement from May 27 to June 3, 2020. All the medical staffs are very polite and attentive to my needs. The place is so clean. I feel safe during that period of my stay in the hospital in this time of pandemic",2
2018,5,"The best hospital in the whole country! All its medical and administrative personnel were quite attentive, polite and helpful to my mother when she was confined in the ICU. It has the best facilities and equipment, too. …",2
2024,5,"Had to visit this hospital at 3a 1/1/23, 1 day after arriving from US. Very professional staff and surprisingly empty during my early morning visit.",2
2022,5,"Thank you, St. Luke's BGC for always providing me and my family with great healthcare experience. I've given birth here, had operations here. All great experiences. My doctors are some of the best people I've met. Their COVID program is top-notch.",2
2024,1,Shocks!! St. Luke's has the most expensive parking rate at PhP600 for 2-hrs alone; far more expensive than SYD and LHR airport parking.,0
2019,3,"Used to be good but now service is terrible. As of time of this writing, my son is confined in the pedia ward and the service has been disappointing. They are forgetting to administer medicines on time. The night duty nurse lack any kind of …",0
2021,1,"Despite Patient Relations coming to the rescue, was extremely disappointed with the reception I got at the Heart Institute this morning. Schedules for procedures too packed and not well managed. Frontline people unaccommodating. I expected way better!",0
2018,2,It was just fine when we did our first medical examination in here. But now my son took his medical in here it ended up that he needs to wait till 1pm with his guardian cause theres no doctor available for pedia. They should prioritize …,0
2021,5,"I don’t know where we would have been during the lockdown and in back surgery for my husband if not for SLMC.  Clean, spacious, and team of doctors are great. Dr. Lumawig was an expert back injury surgeon.  He was very competent and …",2
2023,1,Going here for 10+ years. Used to be the best hospital in the world. Now its basically not functional with their absurd covid rules doctors adjusted and barely work anymore,0
2019,1,"St. Luke's Urgent care is the worst at urgency in the Philippine hospital history. I've been waiting for 1 hour and 30 minutes for a shot that should only take 2 minutes. This is a follow up shot, wherein further consultation should not be …",0
2022,1,The female nurse in Emergency with bob cut hair kept on calling me SIR even I’m a transwoman. His male colleague was a lot better for respecting my pronouns. Imagine having a hard attack yet disrespecting you. Smh,0
2019,2,"The hospital itself is alright. If you have insurance, that is; hospital prices without insurance are insane; but that’s the sad truth of MOST hospitals nowadays, so this cannot be attributed to st lukes only. But there is one doctor that …",1
2024,5,St Luke's BGC is the 11th spot of 25 best or beautiful hospitals in the world,2
2017,4,"Very professional hospital staff. Up to date in terms of medical equipment. Will not trust my life with any other hospital. Well, the only not so pleasant experience that I had was when I was admitted for thyroidectomy/parathyroidectomy and …",0
2022,1,"If you are healthy, you will come out of it sick. They do not respect their patients. There is no costumer service, avoid the stress and disrespect. Do not trust your health to anyone in this hospital.",0
2024,5,Best health care staff and great facilities.,2
2022,1,"PCR test in the basement level , slow, one person checking papers and one cashier.. unless you want to stay the whole morning waiting for slow service go to St Luke's BGC. .. shocking took 2 hours to get registered",0
2015,5,I checked into St Lukes almost sure I was not going to make it but a few days later I was on an airplane back to San Francisco. The staff and doctors were the most daring I've ever experienced. Usually when I would ask for assistance or …,1
2020,5,"Today, our patient was seen by Dr Arlene R Ng, MD, PhD, FPNA, DPBP.. Specialist Movement Disorder.. thanks for the very professional and competent medical service.. ct scan taken and results were available online in 3 hrs.. we are happy SLMC Global City is a world-class hospital.. 9jan2020..",2
2018,3,"I went to SLMC at BGC yesterday to visit a friend who was confined there. I was quite disappointed to see that at the 5th Ave Market, where I decided to have lunch, they had completely stopped their self service drinking water station. This …",0
2022,1,Worst ER experience ever. The waiting time is horrific especially billing. Took me 6hrs to be discharged and Im suffering outside their hospital.,0
2024,5,St Luke's facilities are superb!,2
2019,5,I got rushed here when i got beaten up. The hospital staff are best. they know what to do and how to handle the situation. it's just that the triage is kinda slow for me. but still it very good service.,2
2018,5,"Great service.  The doctors we've dealt with  are very friendly.  Although it is at a higher price point, you will be comforted by the knowledge that you're paying for the one of the best.",2
2023,1,"Pathology is a challenge, you need to allot 2 days to get your results.(edited). They are getting worse.. website for results are down and people are obviously  slacking.. don't go here..",0
2024,5,Thank you so much St. Luke's!,2
2023,5,"Excellent Customer Service from every staff that was received during the time of my stay , very well trained & with personal great manner.",2
2020,5,This is a high class hospital in Bonifatio Global City,2
2024,5,"Fast processing in assistants, good facillities",2
2024,1,"Be very careful with this hospital! My insurance sent me here for an ear problem, they didn't solve anything for me, once the consultation was finished they didn't let us leave, they left us …",0
2021,4,"Located in BGC, it is probably the best-equipped hospital in the Philippines. It seems expensive though. I was hospitalized for a while, but the private room facilities are very good. I think the staff are fairly well trained. However, it's …",2
2024,5,"It's nice that all the staff of st.luke are attentive and they are kind to the patients even though it's expensive, at least it's fine, it's worth it and above all, their comfort room is clean and fragrant, thank you",2
